iteration,total_runs,obs_realization,par_realization,oname:obs.csv_otype:lst_usecol:obsval
0,50,0,0,9.73327e+09
0,50,1,1,9.43758e+09
0,50,2,2,5.54598e+09
0,50,3,3,6.25371e+09
0,50,4,4,7.71111e+09
0,50,5,5,1.01784e+10
0,50,6,6,1.0693e+10
0,50,7,7,5.0006e+09
0,50,8,8,6.75624e+09
0,50,9,9,1.42955e+10
0,50,10,10,1.15068e+10
0,50,11,11,1.11541e+10
0,50,12,12,1.01807e+10
0,50,13,13,3.90829e+09
0,50,14,14,8.67286e+09
0,50,15,15,1.15913e+10
0,50,16,16,8.06552e+09
0,50,17,17,6.57985e+09
0,50,18,18,1.96079e+09
0,50,19,19,1.10828e+10
0,50,20,20,4.49108e+09
0,50,21,21,8.17678e+09
0,50,22,22,7.93208e+09
0,50,23,23,5.95037e+09
0,50,24,24,1.77951e+10
0,50,25,25,5.01001e+09
0,50,26,26,8.42794e+09
0,50,27,27,9.9884e+09
0,50,28,28,1.7929e+10
0,50,29,29,6.19573e+09
0,50,30,30,1.48751e+10
0,50,31,31,5.63327e+09
0,50,32,32,1.02611e+10
0,50,33,33,8.19405e+09
0,50,34,34,1.58931e+10
0,50,35,35,4.63574e+09
0,50,36,36,2.57251e+09
0,50,37,37,1.02404e+10
0,50,38,38,8.52702e+09
0,50,39,39,1.53964e+10
0,50,40,40,7.21955e+09
0,50,41,41,8.17308e+09
0,50,42,42,7.57699e+09
0,50,43,43,2.01627e+10
0,50,44,44,5.64988e+09
0,50,45,45,3.90982e+09
0,50,46,46,1.32322e+10
0,50,47,47,6.88358e+09
0,50,48,48,2.10495e+10
0,50,base,base,1.06125e+08
1,140,0,0,4.34391e+08
1,140,1,1,1.07084e+09
1,140,2,2,1.44399e+09
1,140,3,3,4.15261e+08
1,140,4,4,1.71187e+09
1,140,5,5,8.1933e+08
1,140,6,6,2.07228e+09
1,140,7,7,6.67869e+08
1,140,8,8,2.36621e+09
1,140,9,9,7.07736e+08
1,140,10,10,3.96918e+08
1,140,11,11,5.62854e+08
1,140,12,12,2.23822e+09
1,140,13,13,1.50599e+09
1,140,14,14,1.38252e+09
1,140,15,15,1.10707e+09
1,140,16,16,1.8644e+09
1,140,17,17,2.94674e+09
